"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
385,"$75,000 under $100,000",12937
385,"$100,000 under $200,000",32695
385,"$200,000 or more",33574
,,
387,Red River County,"304,991"
387,Under $1,-7473
387,"$1 under $10,000",3130
387,"$10,000 under $25,000",20563
387,"$25,000 under $50,000",52407
387,"$50,000 under $75,000",48299
387,"$75,000 under $100,000",38731
387,"$100,000 under $200,000",69210
387,"$200,000 or more",80124
,,
389,Reeves County,"433,538"
389,Under $1,-5677
389,"$1 under $10,000",3291
389,"$10,000 under $25,000",18315
389,"$25,000 under $50,000",55559
389,"$50,000 under $75,000",58207
389,"$75,000 under $100,000",47410
389,"$100,000 under $200,000",97171
389,"$200,000 or more",159262
,,
391,Refugio County,"191,036"
391,Under $1,-1855
391,"$1 under $10,000",1863
391,"$10,000 under $25,000",11453
391,"$25,000 under $50,000",31061
391,"$50,000 under $75,000",27758
391,"$75,000 under $100,000",23864
391,"$100,000 under $200,000",56261
391,"$200,000 or more",40631
,,
393,Roberts County,"28,077"
393,Under $1,**
393,"$1 under $10,000",-2950
393,"$10,000 under $25,000",958
393,"$25,000 under $50,000",3000
393,"$50,000 under $75,000",3741
393,"$75,000 under $100,000",2977
393,"$100,000 under $200,000",10165
393,"$200,000 or more",10186
,,
395,Robertson County,"517,207"
395,Under $1,-11023
395,"$1 under $10,000",4711
395,"$10,000 under $25,000",29120
395,"$25,000 under $50,000",69769
395,"$50,000 under $75,000",63795
395,"$75,000 under $100,000",58266
395,"$100,000 under $200,000",151251
395,"$200,000 or more",151318
,,
397,Rockwall County,"7,422,987"
397,Under $1,-56573
397,"$1 under $10,000",24942
397,"$10,000 under $25,000",127277
397,"$25,000 under $50,000",357908
397,"$50,000 under $75,000",463993
397,"$75,000 under $100,000",502254
397,"$100,000 under $200,000",1931337
397,"$200,000 or more",4071849
,,
399,Runnels County,"289,718"
399,Under $1,-2767
399,"$1 under $10,000",2757
399,"$10,000 under $25,000",15580
399,"$25,000 under $50,000",43236
399,"$50,000 under $75,000",39586
399,"$75,000 under $100,000",36460
399,"$100,000 under $200,000",80587
399,"$200,000 or more",74279
,,
401,Rusk County,"1,336,645"
401,Under $1,-31154
401,"$1 under $10,000",12116
401,"$10,000 under $25,000",77209
401,"$25,000 under $50,000",202397
401,"$50,000 under $75,000",196277
401,"$75,000 under $100,000",178033
401,"$100,000 under $200,000",397833
401,"$200,000 or more",303934
,,
403,Sabine County,"275,027"
403,Under $1,-4408
403,"$1 under $10,000",2785
403,"$10,000 under $25,000",15412
403,"$25,000 under $50,000",35569
403,"$50,000 under $75,000",38803
403,"$75,000 under $100,000",36264
403,"$100,000 under $200,000",91212
403,"$200,000 or more",59390
,,
405,San Augustine County,"190,008"
405,Under $1,-7756
405,"$1 under $10,000",1816
405,"$10,000 under $25,000",12688
405,"$25,000 under $50,000",29678
405,"$50,000 under $75,000",27258
405,"$75,000 under $100,000",24356
405,"$100,000 under $200,000",50495
405,"$200,000 or more",51473
,,
407,San Jacinto County,"795,697"
407,Under $1,-16961
407,"$1 under $10,000",7350
407,"$10,000 under $25,000",45623
407,"$25,000 under $50,000",101022
407,"$50,000 under $75,000",101447
407,"$75,000 under $100,000",99369
407,"$100,000 under $200,000",231153
407,"$200,000 or more",226694
,,
409,San Patricio County,"2,034,255"
409,Under $1,-16572
409,"$1 under $10,000",17969
409,"$10,000 under $25,000",118328
409,"$25,000 under $50,000",279485
409,"$50,000 under $75,000",294274
409,"$75,000 under $100,000",258931
409,"$100,000 under $200,000",621463
409,"$200,000 or more",460377
,,
411,San Saba County,"164,518"
411,Under $1,-5026
411,"$1 under $10,000",1515
411,"$10,000 under $25,000",8646
411,"$25,000 under $50,000",21722
411,"$50,000 under $75,000",20758
411,"$75,000 under $100,000",21281
411,"$100,000 under $200,000",40898
411,"$200,000 or more",54724
,,
413,Schleicher County,"74,651"
413,Under $1,-1969
413,"$1 under $10,000",646
413,"$10,000 under $25,000",2862
413,"$25,000 under $50,000",9997
413,"$50,000 under $75,000",10917
413,"$75,000 under $100,000",8563
413,"$100,000 under $200,000",24612
413,"$200,000 or more",19023
,,
415,Scurry County,"505,600"
415,Under $1,-8176
415,"$1 under $10,000",3526
415,"$10,000 under $25,000",21775
415,"$25,000 under $50,000",50387
415,"$50,000 under $75,000",56012
415,"$75,000 under $100,000",58343
415,"$100,000 under $200,000",157674
415,"$200,000 or more",166059
,,
417,Shackelford County,"185,937"
417,Under $1,-7571
417,"$1 under $10,000",984
417,"$10,000 under $25,000",4028
417,"$25,000 under $50,000",11931
417,"$50,000 under $75,000",12465
417,"$75,000 under $100,000",12332
417,"$100,000 under $200,000",30984
417,"$200,000 or more",120784
,,
419,Shelby County,"597,666"
419,Under $1,-16279
419,"$1 under $10,000",6179
419,"$10,000 under $25,000",38911
419,"$25,000 under $50,000",104012
419,"$50,000 under $75,000",94103
419,"$75,000 under $100,000",77040
419,"$100,000 under $200,000",155209
419,"$200,000 or more",138491
,,
421,Sherman County,"87,670"
421,Under $1,-1819
421,"$1 under $10,000",528
421,"$10,000 under $25,000",3066
421,"$25,000 under $50,000",12883
421,"$50,000 under $75,000",12699
421,"$75,000 under $100,000",9900
421,"$100,000 under $200,000",19192
421,"$200,000 or more",31221
,,
423,Smith County,"9,219,448"
423,Under $1,-85213
423,"$1 under $10,000",60769
423,"$10,000 under $25,000",389673
423,"$25,000 under $50,000",1015412
423,"$50,000 under $75,000",935556
423,"$75,000 under $100,000",840179
423,"$100,000 under $200,000",2131533
423,"$200,000 or more",3931539
,,
425,Somervell County,"392,893"
425,Under $1,-4891
425,"$1 under $10,000",2175
425,"$10,000 under $25,000",11721
425,"$25,000 under $50,000",33115
425,"$50,000 under $75,000",34912
425,"$75,000 under $100,000",34776
425,"$100,000 under $200,000",123217
425,"$200,000 or more",157868
,,
427,Starr County,"1,040,615"
427,Under $1,-1899
427,"$1 under $10,000",18190
427,"$10,000 under $25,000",187703
427,"$25,000 under $50,000",259888
427,"$50,000 under $75,000",194612
427,"$75,000 under $100,000",132096
427,"$100,000 under $200,000",178858
427,"$200,000 or more",71167
,,
429,Stephens County,"234,259"
429,Under $1,-4079
429,"$1 under $10,000",2521
429,"$10,000 under $25,000",12964
429,"$25,000 under $50,000",34830
429,"$50,000 under $75,000",32290
429,"$75,000 under $100,000",29190
429,"$100,000 under $200,000",55899
429,"$200,000 or more",70644
,,
431,Sterling County,"55,139"
431,Under $1,**
431,"$1 under $10,000",-301
431,"$10,000 under $25,000",1309
431,"$25,000 under $50,000",3641
431,"$50,000 under $75,000",4564
431,"$75,000 under $100,000",5579
431,"$100,000 under $200,000",13468
431,"$200,000 or more",26879
,,
433,Stonewall County,"47,386"
433,Under $1,-712
433,"$1 under $10,000",259
433,"$10,000 under $25,000",1812
433,"$25,000 under $50,000",4894
433,"$50,000 under $75,000",5212
433,"$75,000 under $100,000",5387
433,"$100,000 under $200,000",10476
433,"$200,000 or more",20058
,,
435,Sutton County,"132,204"
435,Under $1,-6306
435,"$1 under $10,000",872
435,"$10,000 under $25,000",4601
435,"$25,000 under $50,000",14236
435,"$50,000 under $75,000",14758
435,"$75,000 under $100,000",16211
435,"$100,000 under $200,000",34934
435,"$200,000 or more",52898
,,
437,Swisher County,"157,643"
437,Under $1,-4256
437,"$1 under $10,000",1914
437,"$10,000 under $25,000",11173
437,"$25,000 under $50,000",28029
437,"$50,000 under $75,000",24236
437,"$75,000 under $100,000",22331
437,"$100,000 under $200,000",39500
437,"$200,000 or more",34716
,,
439,Tarrant County,"92,565,454"
439,Under $1,-922551
439,"$1 under $10,000",495205
439,"$10,000 under $25,000",3303790
439,"$25,000 under $50,000",9017478
439,"$50,000 under $75,000",9487091
439,"$75,000 under $100,000",8044116
439,"$100,000 under $200,000",21357730
439,"$200,000 or more",41782595
,,
441,Taylor County,"4,744,256"
441,Under $1,-45257
441,"$1 under $10,000",35206
441,"$10,000 under $25,000",215822
441,"$25,000 under $50,000",612588
441,"$50,000 under $75,000",572879
441,"$75,000 under $100,000",506094
441,"$100,000 under $200,000",1219064
441,"$200,000 or more",1627860
,,
443,Terrell County,"18,426"
443,Under $1,**
443,"$1 under $10,000",-188
443,"$10,000 under $25,000",1113
443,"$25,000 under $50,000",1992
443,"$50,000 under $75,000",2209
443,"$75,000 under $100,000",2657
443,"$100,000 under $200,000",10643
443,"$200,000 or more",**
,,
445,Terry County,"254,522"
445,Under $1,-8177
445,"$1 under $10,000",2974
445,"$10,000 under $25,000",18769
445,"$25,000 under $50,000",44560
445,"$50,000 under $75,000",36485
445,"$75,000 under $100,000",32276
445,"$100,000 under $200,000",67969
445,"$200,000 or more",59666
,,
447,Throckmorton County,"43,443"
447,Under $1,-1149
447,"$1 under $10,000",356
447,"$10,000 under $25,000",1876
447,"$25,000 under $50,000",6025
447,"$50,000 under $75,000",6601
447,"$75,000 under $100,000",5245
447,"$100,000 under $200,000",12171
447,"$200,000 or more",12318
,,
449,Titus County,"897,838"
449,Under $1,-7584
449,"$1 under $10,000",7206
449,"$10,000 under $25,000",53551
449,"$25,000 under $50,000",168463
449,"$50,000 under $75,000",134663
449,"$75,000 under $100,000",101705
449,"$100,000 under $200,000",184930
449,"$200,000 or more",254904
,,
451,Tom Green County,"4,289,271"
451,Under $1,-31871
451,"$1 under $10,000",29579
451,"$10,000 under $25,000",182628
451,"$25,000 under $50,000",505246
451,"$50,000 under $75,000",470798
451,"$75,000 under $100,000",427665
451,"$100,000 under $200,000",1050123
451,"$200,000 or more",1655103
,,
453,Travis County,"100,837,744"
453,Under $1,-915554
453,"$1 under $10,000",259874
453,"$10,000 under $25,000",1454065
453,"$25,000 under $50,000",5049196
453,"$50,000 under $75,000",6023864
453,"$75,000 under $100,000",5254657
453,"$100,000 under $200,000",16089923
453,"$200,000 or more",67621719
,,
455,Trinity County,"341,046"
455,Under $1,-8225
455,"$1 under $10,000",3853
455,"$10,000 under $25,000",24311
455,"$25,000 under $50,000",56601
455,"$50,000 under $75,000",57254
455,"$75,000 under $100,000",53264
455,"$100,000 under $200,000",98706
455,"$200,000 or more",55282
,,
457,Tyler County,"476,054"
457,Under $1,-7675
457,"$1 under $10,000",4564
457,"$10,000 under $25,000",27648
457,"$25,000 under $50,000",67471
457,"$50,000 under $75,000",73481
457,"$75,000 under $100,000",67219
457,"$100,000 under $200,000",148094
457,"$200,000 or more",95252
,,
459,Upshur County,"1,131,732"
459,Under $1,-14758
459,"$1 under $10,000",11069
459,"$10,000 under $25,000",64972
459,"$25,000 under $50,000",160023
459,"$50,000 under $75,000",161841
459,"$75,000 under $100,000",152429
459,"$100,000 under $200,000",361020
459,"$200,000 or more",235136
,,
461,Upton County,"137,021"
461,Under $1,**
461,"$1 under $10,000",10
461,"$10,000 under $25,000",3845
461,"$25,000 under $50,000",11725
461,"$50,000 under $75,000",11307
461,"$75,000 under $100,000",12750
461,"$100,000 under $200,000",38173
461,"$200,000 or more",59211
,,
463,Uvalde County,"712,469"
463,Under $1,-15154
463,"$1 under $10,000",8191
463,"$10,000 under $25,000",53964
463,"$25,000 under $50,000",118591
463,"$50,000 under $75,000",96492
463,"$75,000 under $100,000",75986
463,"$100,000 under $200,000",157793
463,"$200,000 or more",216606
,,
465,Val Verde County,"1,220,301"
465,Under $1,-3990
465,"$1 under $10,000",13814
465,"$10,000 under $25,000",99875
465,"$25,000 under $50,000",208871
465,"$50,000 under $75,000",206081
465,"$75,000 under $100,000",162395
465,"$100,000 under $200,000",329117
465,"$200,000 or more",204138
,,
467,Van Zandt County,"1,786,211"
467,Under $1,-17945
467,"$1 under $10,000",14704
467,"$10,000 under $25,000",83880
467,"$25,000 under $50,000",222006
467,"$50,000 under $75,000",234010
467,"$75,000 under $100,000",228414
467,"$100,000 under $200,000",539645
467,"$200,000 or more",481497
,,
469,Victoria County,"3,352,504"
469,Under $1,-35707
469,"$1 under $10,000",23530
469,"$10,000 under $25,000",150154
469,"$25,000 under $50,000",374354
469,"$50,000 under $75,000",355386
469,"$75,000 under $100,000",316292
469,"$100,000 under $200,000",850386
469,"$200,000 or more",1318109
,,
471,Walker County,"1,710,289"
471,Under $1,-26336
471,"$1 under $10,000",15297
471,"$10,000 under $25,000",100215
471,"$25,000 under $50,000",237833
471,"$50,000 under $75,000",220856
471,"$75,000 under $100,000",194891
471,"$100,000 under $200,000",469815
471,"$200,000 or more",497718
,,
473,Waller County,"2,108,406"
473,Under $1,-26153
473,"$1 under $10,000",13714
473,"$10,000 under $25,000",87092
473,"$25,000 under $50,000",212113
473,"$50,000 under $75,000",197695
473,"$75,000 under $100,000",173162
473,"$100,000 under $200,000",524494
473,"$200,000 or more",926289
,,
475,Ward County,"389,971"
475,Under $1,-4355
475,"$1 under $10,000",2713
475,"$10,000 under $25,000",15402
475,"$25,000 under $50,000",40360
475,"$50,000 under $75,000",47519
475,"$75,000 under $100,000",49153
475,"$100,000 under $200,000",133161
475,"$200,000 or more",106018
,,
477,Washington County,"1,560,613"
477,Under $1,-26894
477,"$1 under $10,000",10158
477,"$10,000 under $25,000",56704
477,"$25,000 under $50,000",144710
477,"$50,000 under $75,000",143249
477,"$75,000 under $100,000",137395
477,"$100,000 under $200,000",377378
477,"$200,000 or more",717913
,,
479,Webb County,"6,272,553"
479,Under $1,-66614
479,"$1 under $10,000",80740
479,"$10,000 under $25,000",671348
479,"$25,000 under $50,000",1204110
479,"$50,000 under $75,000",917813
479,"$75,000 under $100,000",619732
479,"$100,000 under $200,000",1278786
479,"$200,000 or more",1566638
,,
481,Wharton County,"1,302,770"
481,Under $1,-26192
481,"$1 under $10,000",11973
481,"$10,000 under $25,000",77298
481,"$25,000 under $50,000",181876
481,"$50,000 under $75,000",164107
481,"$75,000 under $100,000",139181
481,"$100,000 under $200,000",366699
481,"$200,000 or more",387828
,,
483,Wheeler County,"130,284"
483,Under $1,-6348
483,"$1 under $10,000",1280
483,"$10,000 under $25,000",6992
483,"$25,000 under $50,000",17332
483,"$50,000 under $75,000",19565
483,"$75,000 under $100,000",18902
483,"$100,000 under $200,000",37292
483,"$200,000 or more",35269
,,
485,Wichita County,"3,913,968"
485,Under $1,-28636
485,"$1 under $10,000",30829
485,"$10,000 under $25,000",197144
485,"$25,000 under $50,000",522385
485,"$50,000 under $75,000",505184
485,"$75,000 under $100,000",441468
485,"$100,000 under $200,000",977599
485,"$200,000 or more",1267995
,,
487,Wilbarger County,"328,779"
487,Under $1,-2146
487,"$1 under $10,000",3186
487,"$10,000 under $25,000",19969
487,"$25,000 under $50,000",58084
487,"$50,000 under $75,000",48083
487,"$75,000 under $100,000",40896
487,"$100,000 under $200,000",81626
487,"$200,000 or more",79081
,,
489,Willacy County,"317,778"
489,Under $1,-2151
489,"$1 under $10,000",5525
489,"$10,000 under $25,000",40342
489,"$25,000 under $50,000",81042
489,"$50,000 under $75,000",59892
489,"$75,000 under $100,000",39807
489,"$100,000 under $200,000",56637
489,"$200,000 or more",36684
,,
491,Williamson County,"35,699,291"
491,Under $1,-234556
491,"$1 under $10,000",130875
491,"$10,000 under $25,000",671517
491,"$25,000 under $50,000",2325372
491,"$50,000 under $75,000",2871702
491,"$75,000 under $100,000",2875667
491,"$100,000 under $200,000",10150433
491,"$200,000 or more",16908281
,,
493,Wilson County,"2,179,297"
493,Under $1,-17544
493,"$1 under $10,000",11805
493,"$10,000 under $25,000",63718
493,"$25,000 under $50,000",179890
493,"$50,000 under $75,000",213639
493,"$75,000 under $100,000",211786
493,"$100,000 under $200,000",730664
493,"$200,000 or more",785339
,,
495,Winkler County,"227,040"
495,Under $1,-1142
495,"$1 under $10,000",1521
495,"$10,000 under $25,000",9958
495,"$25,000 under $50,000",26154
495,"$50,000 under $75,000",33770
495,"$75,000 under $100,000",28037
495,"$100,000 under $200,000",82204
495,"$200,000 or more",46538
,,
497,Wise County,"2,880,523"
497,Under $1,-34491
497,"$1 under $10,000",16953
497,"$10,000 under $25,000",94027
497,"$25,000 under $50,000",271980
497,"$50,000 under $75,000",322633
497,"$75,000 under $100,000",324857
497,"$100,000 under $200,000",946408
497,"$200,000 or more",938156
,,
499,Wood County,"1,391,625"
499,Under $1,-28061
499,"$1 under $10,000",12671
499,"$10,000 under $25,000",68097
499,"$25,000 under $50,000",179476
499,"$50,000 under $75,000",189206
499,"$75,000 under $100,000",189137
499,"$100,000 under $200,000",421830
499,"$200,000 or more",359269
,,
501,Yoakum County,"260,402"
501,Under $1,-6364
501,"$1 under $10,000",1680
501,"$10,000 under $25,000",10210
501,"$25,000 under $50,000",26198
501,"$50,000 under $75,000",33421
501,"$75,000 under $100,000",38350
501,"$100,000 under $200,000",85800
501,"$200,000 or more",71107
,,
503,Young County,"713,213"
503,Under $1,-16921
503,"$1 under $10,000",4843
503,"$10,000 under $25,000",25960
503,"$25,000 under $50,000",68717
503,"$50,000 under $75,000",73277
503,"$75,000 under $100,000",63753
503,"$100,000 under $200,000",155528
503,"$200,000 or more",338056
,,
505,Zapata County,"206,416"
505,Under $1,-1851
505,"$1 under $10,000",3495
505,"$10,000 under $25,000",38193
505,"$25,000 under $50,000",44117
505,"$50,000 under $75,000",32356
505,"$75,000 under $100,000",21365
505,"$100,000 under $200,000",46887
505,"$200,000 or more",21854
,,
507,Zavala County,"176,216"
507,Under $1,-2330
507,"$1 under $10,000",3017
507,"$10,000 under $25,000",22009
507,"$25,000 under $50,000",43911
507,"$50,000 under $75,000",34293
507,"$75,000 under $100,000",20818
507,"$100,000 under $200,000",33787
507,"$200,000 or more",20711
