"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
063,"$75,000 under $100,000",42981
063,"$100,000 under $200,000",83789
063,"$200,000 or more",110569
,,
065,Carson County,"218,722"
065,Under $1,-4256
065,"$1 under $10,000",1305
065,"$10,000 under $25,000",7332
065,"$25,000 under $50,000",19382
065,"$50,000 under $75,000",21775
065,"$75,000 under $100,000",27910
065,"$100,000 under $200,000",81942
065,"$200,000 or more",63332
,,
067,Cass County,"742,322"
067,Under $1,-15519
067,"$1 under $10,000",7679
067,"$10,000 under $25,000",48187
067,"$25,000 under $50,000",114947
067,"$50,000 under $75,000",116200
067,"$75,000 under $100,000",106356
067,"$100,000 under $200,000",219352
067,"$200,000 or more",145120
,,
069,Castro County,"175,379"
069,Under $1,-15696
069,"$1 under $10,000",1590
069,"$10,000 under $25,000",10022
069,"$25,000 under $50,000",33391
069,"$50,000 under $75,000",31099
069,"$75,000 under $100,000",19438
069,"$100,000 under $200,000",38170
069,"$200,000 or more",57365
,,
071,Chambers County,"2,346,738"
071,Under $1,-11305
071,"$1 under $10,000",10418
071,"$10,000 under $25,000",62540
071,"$25,000 under $50,000",152396
071,"$50,000 under $75,000",196509
071,"$75,000 under $100,000",217392
071,"$100,000 under $200,000",832324
071,"$200,000 or more",886464
,,
073,Cherokee County,"1,346,869"
073,Under $1,-21171
073,"$1 under $10,000",12824
073,"$10,000 under $25,000",84417
073,"$25,000 under $50,000",220249
073,"$50,000 under $75,000",190145
073,"$75,000 under $100,000",169332
073,"$100,000 under $200,000",345811
073,"$200,000 or more",345262
,,
075,Childress County,"145,400"
075,Under $1,-3376
075,"$1 under $10,000",1532
075,"$10,000 under $25,000",8624
075,"$25,000 under $50,000",20604
075,"$50,000 under $75,000",20817
075,"$75,000 under $100,000",22679
075,"$100,000 under $200,000",44627
075,"$200,000 or more",29893
,,
077,Clay County,"346,693"
077,Under $1,-6376
077,"$1 under $10,000",2527
077,"$10,000 under $25,000",13942
077,"$25,000 under $50,000",39086
077,"$50,000 under $75,000",46595
077,"$75,000 under $100,000",50461
077,"$100,000 under $200,000",120667
077,"$200,000 or more",79791
,,
079,Cochran County,"63,096"
079,Under $1,-2763
079,"$1 under $10,000",595
079,"$10,000 under $25,000",3981
079,"$25,000 under $50,000",9963
079,"$50,000 under $75,000",10498
079,"$75,000 under $100,000",8441
079,"$100,000 under $200,000",15030
079,"$200,000 or more",17351
,,
081,Coke County,"99,867"
081,Under $1,-835
081,"$1 under $10,000",795
081,"$10,000 under $25,000",4989
081,"$25,000 under $50,000",13282
081,"$50,000 under $75,000",14516
081,"$75,000 under $100,000",12929
081,"$100,000 under $200,000",32172
081,"$200,000 or more",22019
,,
083,Coleman County,"225,620"
083,Under $1,-10416
083,"$1 under $10,000",2411
083,"$10,000 under $25,000",13047
083,"$25,000 under $50,000",31787
083,"$50,000 under $75,000",32059
083,"$75,000 under $100,000",26069
083,"$100,000 under $200,000",55569
083,"$200,000 or more",75094
,,
085,Collin County,"70,256,125"
085,Under $1,-522051
085,"$1 under $10,000",236992
085,"$10,000 under $25,000",1186610
085,"$25,000 under $50,000",3303157
085,"$50,000 under $75,000",4208139
085,"$75,000 under $100,000",4429776
085,"$100,000 under $200,000",17412157
085,"$200,000 or more",40001345
,,
087,Collingsworth County,"67,328"
087,Under $1,-5702
087,"$1 under $10,000",761
087,"$10,000 under $25,000",3744
087,"$25,000 under $50,000",8834
087,"$50,000 under $75,000",10205
087,"$75,000 under $100,000",10039
087,"$100,000 under $200,000",18789
087,"$200,000 or more",20658
,,
089,Colorado County,"781,073"
089,Under $1,-30814
089,"$1 under $10,000",5851
089,"$10,000 under $25,000",34855
089,"$25,000 under $50,000",88474
089,"$50,000 under $75,000",91878
089,"$75,000 under $100,000",81538
089,"$100,000 under $200,000",214484
089,"$200,000 or more",294807
,,
091,Comal County,"10,159,693"
091,Under $1,-83177
091,"$1 under $10,000",43074
091,"$10,000 under $25,000",205534
091,"$25,000 under $50,000",642115
091,"$50,000 under $75,000",738850
091,"$75,000 under $100,000",784185
091,"$100,000 under $200,000",2809222
091,"$200,000 or more",5019890
,,
093,Comanche County,"382,376"
093,Under $1,-14454
093,"$1 under $10,000",3990
093,"$10,000 under $25,000",22222
093,"$25,000 under $50,000",56628
093,"$50,000 under $75,000",57427
093,"$75,000 under $100,000",47259
093,"$100,000 under $200,000",91814
093,"$200,000 or more",117490
,,
095,Concho County,"67,023"
095,Under $1,-1200
095,"$1 under $10,000",753
095,"$10,000 under $25,000",3401
095,"$25,000 under $50,000",8963
095,"$50,000 under $75,000",9249
095,"$75,000 under $100,000",9275
095,"$100,000 under $200,000",20260
095,"$200,000 or more",16322
,,
097,Cooke County,"1,716,689"
097,Under $1,-28962
097,"$1 under $10,000",9656
097,"$10,000 under $25,000",60912
097,"$25,000 under $50,000",177740
097,"$50,000 under $75,000",192932
097,"$75,000 under $100,000",173803
097,"$100,000 under $200,000",451294
097,"$200,000 or more",679314
,,
099,Coryell County,"1,783,308"
099,Under $1,-15350
