,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
159,McCulloch County,67.52000000000001,67.7,1.1966620241321333,65.8,68.7,24.574,24.01,3.3179255567296866,19.77,28.37
160,McLennan County,68.0,67.8,0.8366600265340707,66.9,69.1,33.666000000000004,33.15,7.687433251742742,22.53,41.77
161,McMullen County,73.28,73.8,1.3553597308463874,71.8,74.8,21.516,21.64,4.675182349384888,16.21,28.22
162,Medina County,71.28,71.6,1.0232301793829226,69.8,72.3,20.012,20.29,5.329696989510754,13.04,26.93
163,Menard County,66.76,66.9,1.173882447266331,65.0,67.9,22.542,24.31,4.2633109199306585,15.66,26.28
164,Midland County,66.4,67.0,1.254990039801104,64.9,67.6,10.458,9.37,2.147433351701514,8.63,13.62
165,Milam County,69.24,69.4,1.112654483656093,67.9,70.3,34.022000000000006,35.16,5.369317461279413,27.07,39.15
166,Mills County,67.52000000000001,67.5,1.0802777420645069,65.9,68.6,26.802,26.09,4.909360447145841,19.86,33.2
167,Mitchell County,66.6,67.1,1.2529964086141754,64.6,67.9,16.772,15.75,3.690294026226096,11.94,21.68
168,Montague County,65.34,65.2,1.1126544836560903,64.0,66.7,35.275999999999996,32.49,5.828214134707132,30.01,42.27
169,Montgomery County,70.74,71.2,1.0597169433391125,69.2,71.7,48.786,43.31,10.786831323423948,40.33,65.54
170,Moore County,59.36,58.9,0.8473488065725964,58.7,60.7,16.98,15.88,4.13607906113991,12.02,21.27
171,Morris County,66.16,66.6,1.1588787684654531,64.8,67.5,48.977999999999994,48.33,5.525678238913301,41.85,57.37
172,Motley County,63.46,63.2,0.8820430828479956,62.5,64.8,20.994,20.23,4.233022560771441,15.63,26.91
173,Nacogdoches County,67.72,67.9,0.7049822692805805,67.0,68.6,50.778,48.08,14.797250420263897,37.17,75.42
174,Navarro County,67.86,68.0,1.1480418110852928,66.4,69.0,39.446,37.56,6.838587573468661,31.7,48.44
175,Newton County,68.58,68.6,0.990959131347002,67.6,69.8,56.05800000000001,52.56,14.733656029648582,37.74,76.9
176,Nolan County,65.97999999999999,66.3,1.2477980605851304,64.0,67.3,20.684,21.54,4.317502750433402,14.85,25.7
177,Nueces County,74.47999999999999,75.0,1.134460224071341,72.9,75.6,25.914,22.98,6.734064894252205,20.85,37.41
178,Ochiltree County,59.2,59.2,1.2980754985747185,58.0,61.2,21.642000000000003,23.42,6.097857820579289,13.42,29.55
179,Oldham County,58.86,58.9,0.9235799911215038,58.0,60.3,14.912,15.45,3.832573547891807,10.39,20.44
180,Orange County,69.94000000000001,69.9,1.1545561917897242,68.7,71.2,54.866,52.81,10.983727964584707,40.23,68.69
181,Palo Pinto County,66.94,67.1,1.2421755109484314,65.1,68.1,30.26,31.75,6.858319765073659,20.0,37.4
182,Panola County,66.94,67.3,0.8324662155306861,65.9,67.7,52.526,47.93,12.148095735546375,43.76,73.56
183,Parker County,66.74,66.8,1.2033287165193112,65.0,67.9,31.28,33.24,5.125051219256253,23.06,35.53
184,Parmer County,59.34,59.6,1.0454664030948124,58.1,60.7,16.742,17.31,3.4715515263351624,11.47,21.16
185,Pecos County,67.62,68.2,1.2755391017134718,66.2,68.9,10.022,10.51,2.378165259186165,7.32,12.76
186,Polk County,69.02,69.1,0.8757853618324484,68.0,70.1,54.266,49.25,13.801482891341784,43.63,77.59
187,Potter County,60.08,59.6,1.0084641788382962,59.2,61.7,17.598,17.4,3.5911446643096947,13.22,22.9
188,Presidio County,66.72,67.1,1.143241006962215,65.2,68.0,10.77,12.0,3.1886909539809594,5.88,13.39
189,Rains County,65.88,65.8,1.0183319694480728,64.5,67.1,46.29,45.5,7.474499983276472,38.21,58.31
190,Randall County,59.779999999999994,59.6,1.0109401564880072,58.8,61.3,18.482,18.56,3.235424238025055,13.65,22.69
191,Reagan County,66.74,67.4,1.1717508267545604,65.1,67.7,14.0,13.47,2.871410803072246,10.99,17.38
192,Real County,68.4,68.5,1.0416333327999825,67.2,69.6,20.528,19.07,6.378814153116549,12.8,28.64
193,Red River County,65.1,65.1,0.7905694150420931,64.1,66.1,50.418,49.42,5.045004459859276,44.51,58.23
194,Reeves County,67.3,67.9,1.2349089035228416,65.7,68.6,9.446,11.23,3.403194087912119,5.62,12.43
195,Refugio County,73.1,73.6,1.039230484541331,71.8,74.2,32.018,27.85,12.26933861298155,21.76,53.33
196,Roberts County,60.64,60.4,1.397497763862252,59.3,62.8,21.932,22.94,3.733278719838636,16.56,26.36
197,Robertson County,68.67999999999999,69.0,1.070980858839221,67.4,69.7,37.186,34.65,6.4478081547142825,31.2,44.87
198,Rockwall County,66.82000000000001,66.6,0.8871302046486697,65.9,68.1,40.126,39.39,5.780919477038233,33.94,47.62
199,Runnels County,66.84,67.0,1.304990421420777,64.8,68.1,22.404,20.99,4.729781178870752,16.96,29.46
200,Rusk County,66.75999999999999,67.1,0.9208691546577082,65.5,67.6,49.748000000000005,46.72,11.574535411842676,41.49,69.81
201,Sabine County,68.0,68.0,0.7314369419163935,67.3,69.0,56.742,53.52,14.773138461410284,41.08,80.35
202,San Augustine County,67.96000000000001,67.9,0.642650760522388,67.3,68.8,54.424,49.81,15.167342549042662,39.07,78.41
203,San Jacinto County,69.58,69.9,0.9859006035092996,68.1,70.5,52.568,46.41,11.916134859928365,43.81,72.2
204,San Patricio County,73.6,74.2,1.1313708498984758,72.1,74.7,28.889999999999997,25.68,9.879083965631631,21.68,46.28
205,San Saba County,68.14,68.1,1.161034021896002,66.4,69.2,26.872000000000003,28.15,4.2633930149588615,21.33,32.49
206,Schleicher County,66.53999999999999,66.5,1.078424777163432,65.0,67.7,20.42,20.82,5.17892363334313,13.13,25.96
207,Scurry County,65.67999999999999,66.1,1.1627553482998945,63.9,67.0,18.546,17.14,4.588189185288679,13.68,24.7
208,Shackelford County,66.42,66.7,1.3084341787036848,64.4,67.8,26.544,27.26,4.568772263967641,19.51,31.69
