Name,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
Presidio County,10.77,12.0,3.1886909539809594,5.88,13.39
Rains County,46.29,45.5,7.4744999832764725,38.21,58.31
Randall County,18.482,18.56,3.235424238025055,13.65,22.69
Reagan County,14.0,13.47,2.871410803072246,10.99,17.38
Real County,20.528,19.07,6.378814153116549,12.8,28.64
Red River County,50.418,49.42,5.045004459859276,44.51,58.23
Reeves County,9.446,11.23,3.403194087912119,5.62,12.43
Refugio County,32.018,27.85,12.26933861298155,21.76,53.33
Roberts County,21.932,22.94,3.733278719838636,16.56,26.36
Robertson County,37.186,34.65,6.4478081547142825,31.2,44.87
Rockwall County,40.126,39.39,5.780919477038233,33.94,47.62
Runnels County,22.404,20.99,4.729781178870752,16.96,29.46
Rusk County,49.748000000000005,46.72,11.574535411842675,41.49,69.81
Sabine County,56.742,53.52,14.773138461410285,41.08,80.35
San Augustine County,54.424,49.81,15.167342549042662,39.07,78.41
San Jacinto County,52.568,46.41,11.916134859928365,43.81,72.2
San Patricio County,28.889999999999997,25.68,9.879083965631631,21.68,46.28
San Saba County,26.872000000000003,28.15,4.2633930149588615,21.33,32.49
Schleicher County,20.42,20.82,5.17892363334313,13.13,25.96
Scurry County,18.546,17.14,4.588189185288679,13.68,24.7
Shackelford County,26.544,27.26,4.568772263967641,19.51,31.69
Shelby County,53.854,49.22,14.622109286966776,41.52,78.78
Sherman County,16.330000000000002,18.13,4.48222043188418,9.44,21.1
Smith County,46.744,46.71,7.966522453366967,39.03,59.13
Somervell County,35.9,37.35,7.32440782589282,23.3,42.23
Starr County,19.996000000000002,19.89,3.631030156856316,15.75,25.7
Stephens County,28.692,30.78,5.547149718549159,22.24,34.59
Sterling County,15.419999999999998,17.0,3.318101867031812,10.31,18.21
Stonewall County,22.206,21.45,5.301908147073091,14.54,28.41
Sutton County,19.05,18.68,4.613263486947174,12.91,24.74
Swisher County,18.816,20.16,2.988850949779865,13.85,21.01
Tarrant County,33.226,32.36,2.044976772484225,31.41,36.63
Taylor County,23.436,23.81,5.43933176042793,16.95,30.8
Terrell County,11.006,10.7,1.9490587471905514,9.29,14.27
Terry County,15.276,15.67,1.9757985727295175,12.69,17.83
Throckmorton County,26.701999999999998,26.11,4.245370419645381,21.88,31.22
Titus County,47.672000000000004,46.1,6.180964326057869,41.44,58.06
Tom Green County,20.448,20.35,4.101520449784445,14.1,24.79
Travis County,29.226,28.15,6.080479421887719,22.52,38.93
Trinity County,51.839999999999996,47.61,13.30604937612964,41.81,74.66
Tyler County,55.374,51.34,15.565573551912566,38.34,79.78
Upshur County,48.928,46.51,7.958433891162255,41.6,62.36
Upton County,10.322,10.09,1.7084993415275291,7.75,12.22
Uvalde County,19.172,21.51,4.286935968731047,13.85,23.34
Val Verde County,12.77,13.24,1.217723285479916,11.1,14.05
Van Zandt County,45.05800000000001,43.96,8.694119851945912,35.64,59.11
Victoria County,36.548,35.59,8.564059784938447,27.56,50.45
Walker County,49.266,43.59,12.89800100790816,40.68,71.52
Waller County,39.96,35.91,9.516065363373668,29.59,52.67
Ward County,7.692,8.96,2.2595729685053323,4.32,9.57
Washington County,37.94199999999999,33.66,9.10698468209978,27.75,49.37
Webb County,17.676,18.64,2.9331774579796566,13.62,20.45
Wharton County,41.989999999999995,37.36,10.823275844216482,32.55,57.86
Wheeler County,22.546,22.69,2.3891693117064765,19.0,25.05
Wichita County,28.446000000000005,26.91,5.118332736350775,22.48,34.43
